noted_date,avg_temp,cnt
2018-07-28,31.0,45
2018-07-29,32.5,6
2018-07-31,30.923076923076923,13
2018-08-10,28.601739130434783,575
2018-08-11,32.89922480620155,129
2018-08-16,30.45909090909091,220
2018-08-18,32.5,14
2018-08-19,32.333333333333336,12
2018-08-25,31.225563909774436,133
2018-08-26,31.48,25
2018-08-30,30.0,48
2018-09-03,32.017357762777245,1037
2018-09-04,30.16139954853273,886
2018-09-05,27.88888888888889,9
2018-09-06,27.411167512690355,591
2018-09-07,29.996370235934663,551
2018-09-09,29.035847647498134,1339
2018-09-10,30.625595892922625,2727
2018-09-11,31.454545454545453,1694
2018-09-12,30.491294885745376,1838
2018-09-13,30.9645390070922,141
2018-09-14,30.78030303030303,132
2018-09-15,28.46938775510204,49
2018-09-16,31.674418604651162,43
2018-09-17,31.382113821138212,123
2018-09-18,30.5609756097561,82
2018-09-19,31.175257731958762,97
2018-09-20,32.43046357615894,151
2018-09-21,32.35643564356435,101
2018-09-22,34.0,26
2018-09-24,32.0,22
2018-09-25,31.602040816326532,98
2018-09-26,31.481203007518797,133
2018-09-27,31.651515151515152,66
2018-09-28,31.82608695652174,161
2018-09-29,33.7875,80
2018-09-30,34.0,10
2018-10-09,31.95774647887324,71
2018-10-10,30.44047619047619,84
2018-10-11,34.0,2
2018-10-12,33.48979591836735,49
2018-10-15,31.341666666666665,120
2018-10-16,31.554621848739497,119
2018-10-17,29.25423728813559,118
2018-10-18,33.05,40
2018-10-20,31.94495412844037,109
2018-10-21,32.21768707482993,147
2018-10-22,32.420212765957444,188
2018-10-23,31.543624161073826,149
2018-10-24,31.23913043478261,92
2018-10-25,30.43169398907104,366
2018-10-26,29.630331753554504,211
2018-10-27,32.70967741935484,341
2018-10-28,33.18181818181818,44
2018-10-30,30.684615384615384,130
2018-10-31,30.98901098901099,91
2018-11-01,30.45360824742268,97
2018-11-02,31.140625,64
2018-11-03,31.54368932038835,103
2018-11-04,31.940217391304348,184
2018-11-05,31.94,50
2018-11-17,30.25657894736842,152
2018-11-18,30.360655737704917,183
2018-11-19,29.24468085106383,94
2018-11-27,28.448275862068964,87
2018-11-28,28.72222222222222,36
2018-12-03,30.3265306122449,196
2018-12-04,28.119230769230768,260
2018-12-05,29.569948186528496,193
2018-12-06,28.267123287671232,292
2018-12-07,29.08683853459973,737
2018-12-08,29.111675126903553,394
